chesscom-blitz,1,0,,,,,,,
chesscom-bullet,1.036516455,-112.4543786,,,,,,,
chesscom-rapid,0.7513439745,461.6457348,,,,,,,
lichess-blitz,0.7658478335,616.0098942,,,,,,,
lichess-bullet,0.8660009037,373.1784651,,,,,,,
lichess-rapid,0.6298191743,948.7785739,,,,,,,
lichess-classical,0.5264331886,1070.387055,,,,,,,
uscf,0.8717580938,172.2566092,,,,,,,
fide-us,0.7128502674,486.9024064,,,,,,,
fide,0.7483619932,435.6301053,,,,,,,
,,,,,,,,,
Chesscom,,,Lichess,,,,,,
cc blitz,cc bullet,cc rapid,lc blitz,lc bullet,lc rapid,lc classical,USCF,FIDE US,FIDE
500,460,710,945,840,1145,1250,490,,
600,545,810,1005,895,1225,1310,605,,
700,640,915,1090,960,1325,1405,675,,
800,745,1025,1200,1065,1430,1510,800,,
900,830,1120,1295,1150,1515,1575,935,,
1000,930,1210,1395,1230,1595,1630,1050,,
1100,1030,1305,1485,1315,1665,1675,1155,,
1150,1080,1345,1520,1360,1705,1700,1200,,
1200,1125,1385,1560,1410,1735,1740,1245,,
1250,1175,1430,1600,1460,1775,1750,1290,,
1300,1215,1470,1630,1505,1800,1780,1335,,
1350,1275,1515,1685,1570,1840,1810,1400,,
1400,1320,1555,1715,1605,1865,1830,1430,,
1450,1370,1595,1760,1635,1900,1845,1480,,
1500,1410,1630,1800,1675,1940,1870,1530,1600,1515
1550,1470,1665,1830,1715,1965,1890,1585,1610,1535
1600,1515,1700,1865,1760,1995,1935,1625,1635,1545
1650,1580,1745,1905,1805,2015,1960,1675,1635,1565
1700,1630,1785,1940,1845,2040,1985,1705,1660,1615
1750,1690,1820,1980,1890,2075,2000,1735,1720,1665
1800,1735,1850,2005,1925,2100,2010,1770,1760,1715
1850,1800,1895,2045,1980,2125,2040,1810,1815,1760
1900,1835,1925,2075,2015,2155,2055,1850,1835,1825
1950,1905,1965,2105,2050,2180,2065,1905,1875,1875
2000,1950,2000,2135,2080,2200,2080,1940,1945,1915
2100,2065,2055,2205,2185,2270,2155,2020,2000,2015
2200,2165,2105,2280,2265,2320,2200,2100,2045,2110
2300,2275,2175,2355,2345,2375,2250,2170,2105,2195
2400,2380,2235,2425,2435,2440,2315,2225,2170,2270
2500,2485,2300,2510,2530,2510,2355,2280,2250,2325
2600,2595,2360,2600,2615,2590,2460,2380,2380,2390
2700,2690,2430,2655,2705,2615,2575,2470,2425,2450
2800,2800,2485,2725,2805,2665,2575,2585,2455,2515
2900,2905,2590,2850,2900,2735,2580,2635,2575,2590
3000,3065,2720,2915,3020,2820,2595,2770,2630,2645